 -68.00    3.1623E+09    9.1614E+10    7.6266E+10    1.6368E+11    1.4179E+11
 -68.00    3.9811E+09    1.1071E+11    9.2240E+10    1.9042E+11    1.6142E+11
 -68.00    5.0119E+09    1.3208E+11    1.1013E+11    2.2019E+11    1.8285E+11
 -68.00    6.3096E+09    1.5598E+11    1.2993E+11    2.5283E+11    2.0658E+11
 -68.00    7.9433E+09    1.8271E+11    1.5226E+11    2.8956E+11    2.3229E+11
 -68.00    1.0000E+10    2.1228E+11    1.7689E+11    3.2934E+11    2.6078E+11
 -68.00    1.2589E+10    2.3503E+11    1.9608E+11    3.6463E+11    2.9604E+11
 -68.00    1.5849E+10    2.5984E+11    2.1653E+11    4.0311E+11    3.3498E+11
 -68.00    1.9953E+10    2.8691E+11    2.3913E+11    4.4520E+11    3.7676E+11
 -68.00    2.5119E+10    3.1637E+11    2.6361E+11    4.9079E+11    4.2304E+11
 -68.00    3.1623E+10    3.4799E+11    2.9001E+11    5.4011E+11    4.7385E+11
 -68.00    3.9811E+10    3.7180E+11    3.1000E+11    5.7698E+11    5.0566E+11
 -68.00    5.0119E+10    3.9722E+11    3.3087E+11    6.1642E+11    5.4037E+11
 -68.00    6.3096E+10    4.2373E+11    3.5339E+11    6.5781E+11    5.7670E+11
 -68.00    7.9433E+10    4.5186E+11    3.7676E+11    7.0165E+11    6.1489E+11
 -68.00    1.0000E+11    4.8156E+11    4.0152E+11    7.4774E+11    6.5537E+11
 0. 0. 0. 0. 0. 0.
 -67.00    1.9953E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
 -67.00    2.5119E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
 -67.00    3.1623E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
 -67.00    3.9811E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
 -67.00    5.0119E+07    0.0000E+00    0.0000E+00    0.0000E+00    0.0000E+00
 -67.00    6.3096E+07    8.6263E+07    7.1986E+07    1.1902E+08    3.3833E+08
 -67.00    7.9433E+07    1.8881E+08    1.5759E+08    2.6130E+08    7.4440E+08
 -67.00    1.0000E+08    3.1160E+08    2.5870E+08    4.2926E+08    1.2160E+09
 -67.00    1.2589E+08    1.0088E+09    8.4166E+08    2.9321E+09    3.1352E+09
 -67.00    1.5849E+08    1.8350E+09    1.5289E+09    5.8910E+09    5.3912E+09
